,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
0,1. Nathan MacKinnon,COL,33,"Sep. 1, 1995",Canada,200 lbs - 91 kg,"6'0"" - 183 cm",C,Right,1 - Round 1 - 2013 (COL),,,,COL,Standard (1-way),✔,"Sep. 20, 2022",27,,,NMC,8,UFA,UFA,2031,"$12,600,000",15.3%,"$12,600,000","$9,900,000","$990,000","$9,900,000","$8,910,000",$0
1,2. William Nylander,TOR,33,"May 1, 1996",Canada,202 lbs - 92 kg,"6'0"" - 183 cm",RW,Right,8 - Round 1 - 2014 (TOR),,,,TOR,Standard (1-way),✔,"Jan. 8, 2024",28,,,NMC,8,UFA,UFA,2032,"$11,500,000",13.8%,"$11,500,000","$11,000,000","$6,000,000","$11,000,000","$5,000,000",$0
2,3. David Pastrnak,BOS,33,"May 25, 1996",Czech Republic,194 lbs - 88 kg,"6'0"" - 183 cm",RW,Right,25 - Round 1 - 2014 (BOS),,,,BOS,Standard (1-way),✔,"Mar. 2, 2023",27,,,M-NTC,8,UFA,UFA,2031,"$11,250,000",13.6%,"$11,250,000","$9,500,000","$7,000,000","$9,500,000","$2,500,000",$0
3,4. Jonathan Huberdeau,CGY,36,"Jun. 4, 1993",Canada,202 lbs - 92 kg,"6'1"" - 185 cm","LW, RW",Left,3 - Round 1 - 2011 (FLA),,,,CGY,Standard (1-way),✔,"Aug. 4, 2022",30,,,"M-NTC, NMC",8,UFA,UFA,2031,"$10,500,000",12.7%,"$10,500,000","$10,500,000","$1,000,000","$10,500,000","$9,500,000",$0
4,5. Aleksander Barkov,FLA,33,"Sep. 2, 1995",Finland,210 lbs - 95 kg,"6'3"" - 191 cm",C,Left,2 - Round 1 - 2013 (FLA),,,,FLA,Standard (1-way),✔,"Oct. 8, 2021",26,,,M-NTC,8,UFA,UFA,2030,"$10,000,000",12.3%,"$10,000,000","$7,200,000","$1,000,000","$7,200,000","$6,200,000",$0
5,6. Sebastian Aho,CAR,31,"Jul. 26, 1997",Finland,176 lbs - 80 kg,"6'0"" - 183 cm",C,Left,35 - Round 2 - 2015 (CAR),,,,CAR,Standard (1-way),✔,"Jul. 26, 2023",26,,,NMC,8,UFA,UFA,2032,"$9,750,000",11.7%,"$9,750,000","$8,600,000","$6,600,000","$8,600,000","$2,000,000",$0
6,7. Seth Jones,CHI,34,"Oct. 3, 1994",United States,209 lbs - 95 kg,"6'4"" - 193 cm",RD,Right,4 - Round 1 - 2013 (NSH),,,,CHI,Standard (1-way),✔,"Jul. 23, 2021",27,,,NMC,8,UFA,UFA,2030,"$9,500,000",11.7%,"$9,500,000","$7,500,000","$2,500,000","$7,500,000","$5,000,000",$0
7,8. Brayden Point,TBL,33,"Mar. 13, 1996",Canada,166 lbs - 75 kg,"5'10"" - 178 cm","C, RW",Right,79 - Round 3 - 2014 (TBL),,,,TBL,Standard (1-way),✔,"Jul. 28, 2021",26,✔,,M-NTC,8,RFA,UFA,2030,"$9,500,000",11.7%,"$9,500,000","$7,200,000","$3,000,000","$7,200,000","$4,200,000",$0
8,9. Matthew Tkachuk,FLA,31,"Dec. 11, 1997",United States,202 lbs - 92 kg,"6'2"" - 188 cm",RW,Left,6 - Round 1 - 2016 (CGY),,,,CGY,Standard (1-way),,"Jul. 22, 2022",24,✔,✔,M-NTC,8,RFA,UFA,2030,"$9,500,000",11.5%,"$9,500,000","$7,000,000","$1,000,000","$7,000,000","$6,000,000",$0
9,10. Darnell Nurse,EDM,34,"Feb. 4, 1995",Canada,221 lbs - 100 kg,"6'4"" - 193 cm",LD,Left,7 - Round 1 - 2013 (EDM),,,,EDM,Standard (1-way),✔,"Aug. 6, 2021",27,,,"M-NTC, NMC",8,UFA,UFA,2030,"$9,250,000",11.3%,"$9,250,000","$7,200,000","$1,200,000","$7,200,000","$6,000,000",$0
10,11. Jake Guentzel,TBL,34,"Oct. 6, 1994",United States,180 lbs - 82 kg,"5'11"" - 180 cm","LW, RW",Left,77 - Round 3 - 2013 (PIT),,,,TBL,Standard (1-way),✔,"Jun. 30, 2024",29,,,M-NTC,7,UFA,UFA,2031,"$9,000,000",10.2%,"$9,000,000","$7,957,895","$1,000,000","$7,957,895","$6,957,895",$0
11,12. Timo Meier,NJD,32,"Oct. 8, 1996",Switzerland,210 lbs - 95 kg,"6'0"" - 183 cm","LW, RW",Left,9 - Round 1 - 2015 (SJS),,,,NJD,Standard (1-way),✔,"Jun. 28, 2023",26,✔,✔,"M-NTC, NMC",8,RFA,UFA,2031,"$8,800,000",10.5%,"$8,800,000","$7,200,000","$3,900,000","$7,200,000","$3,300,000",$0
12,13. Dylan Larkin,DET,32,"Jul. 30, 1996",United States,198 lbs - 90 kg,"6'1"" - 185 cm",C,Left,15 - Round 1 - 2014 (DET),,,,DET,Standard (1-way),✔,"Mar. 1, 2023",26,,,M-NTC,8,UFA,UFA,2031,"$8,700,000",10.5%,"$8,700,000","$7,500,000","$7,500,000","$7,500,000",$0,$0
13,14. Sam Reinhart,FLA,33,"Nov. 6, 1995",Canada,194 lbs - 88 kg,"6'1"" - 185 cm",RW,Right,2 - Round 1 - 2014 (BUF),,,,FLA,Standard (1-way),✔,"Jun. 30, 2024",28,,,NMC,8,UFA,UFA,2032,"$8,625,000",9.8%,"$8,625,000","$6,600,000","$1,000,000","$6,600,000","$5,600,000",$0
14,15. Filip Forsberg,NSH,34,"Aug. 13, 1994",Sweden,205 lbs - 93 kg,"6'1"" - 185 cm",LW,Right,11 - Round 1 - 2012 (WSH),,,,NSH,Standard (1-way),✔,"Jul. 9, 2022",27,,,"M-NTC, NMC",8,UFA,UFA,2030,"$8,500,000",10.3%,"$8,500,000","$6,500,000","$3,500,000","$6,500,000","$3,000,000",$0
15,16. Mark Scheifele,WPG,36,"Mar. 15, 1993",Canada,207 lbs - 94 kg,"6'3"" - 191 cm",C,Right,7 - Round 1 - 2011 (WPG),,,,WPG,Standard (1-way),✔,"Oct. 9, 2023",31,,,M-NTC,7,UFA,UFA,2031,"$8,500,000",10.2%,"$8,500,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
16,17. Connor Hellebuyck,WPG,36,"May 19, 1993",United States,207 lbs - 94 kg,"6'4"" - 193 cm",G,Left,130 - Round 5 - 2012 (WPG),,,,WPG,Standard (1-way),✔,"Oct. 9, 2023",31,,,M-NTC,7,UFA,UFA,2031,"$8,500,000",10.2%,"$8,500,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
17,18. Bo Horvat,NYI,34,"Apr. 5, 1995",Canada,215 lbs - 98 kg,"6'0"" - 183 cm",C,Left,9 - Round 1 - 2013 (VAN),,,,NYI,Standard (1-way),✔,"Feb. 5, 2023",28,,,M-NTC,8,UFA,UFA,2031,"$8,500,000",10.3%,"$8,500,000","$8,500,000","$8,500,000","$8,500,000",$0,$0
18,19. Mika Zibanejad,NYR,36,"Apr. 18, 1993",Sweden,208 lbs - 94 kg,"6'2"" - 188 cm",C,Right,6 - Round 1 - 2011 (OTT),,,,NYR,Standard (1-way),✔,"Oct. 10, 2021",29,,,NMC,8,UFA,UFA,2030,"$8,500,000",10.4%,"$8,500,000","$6,500,000","$1,000,000","$6,500,000","$5,500,000",$0
19,20. Tomas Hertl,VGK,35,"Nov. 12, 1993",Czech Republic,215 lbs - 98 kg,"6'2"" - 188 cm",C,Left,17 - Round 1 - 2012 (SJS),,,,SJS,Standard (1-way),✔,"Mar. 16, 2022",28,,,"M-NTC, NMC",8,UFA,UFA,2030,"$8,137,500",10.0%,"$8,137,500","$6,150,000","$3,750,000","$6,150,000","$2,400,000",$0
20,21. Pavel Buchnevich,STL,34,"Apr. 17, 1995",Russia,197 lbs - 89 kg,"6'3"" - 191 cm","LW, RW, C",Left,75 - Round 3 - 2013 (NYR),,,,STL,Standard (1-way),✔,"Jul. 2, 2024",30,,,M-NTC,6,UFA,UFA,2031,"$8,000,000",9.1%,"$8,000,000","$8,000,000","$8,000,000","$8,000,000",$0,$0
21,22. J.T. Miller,VAN,36,"Mar. 14, 1993",United States,218 lbs - 99 kg,"6'1"" - 185 cm","C, LW, RW",Left,15 - Round 1 - 2011 (NYR),,,,VAN,Standard (1-way),✔,"Sep. 2, 2022",30,,,"M-NTC, NMC",7,UFA,UFA,2030,"$8,000,000",9.7%,"$8,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
22,23. Sean Couturier,PHI,36,"Dec. 7, 1992",United States,211 lbs - 96 kg,"6'3"" - 191 cm",C,Left,8 - Round 1 - 2011 (PHI),,,,PHI,Standard (1-way),✔,"Aug. 26, 2021",29,,,M-NTC,8,UFA,UFA,2030,"$7,750,000",9.5%,"$7,750,000","$6,500,000","$1,500,000","$6,500,000","$5,000,000",$0
23,24. Elias Lindholm,BOS,34,"Dec. 2, 1994",Sweden,195 lbs - 88 kg,"6'1"" - 185 cm","C, RW",Right,5 - Round 1 - 2013 (CAR),,,,BOS,Standard (1-way),,"Jul. 1, 2024",29,,,,7,UFA,UFA,2031,"$7,750,000",8.8%,"$7,750,000","$7,750,000","$7,750,000","$7,750,000",$0,$0
24,25. Juuse Saros,NSH,34,"Apr. 19, 1995",Finland,180 lbs - 82 kg,"5'11"" - 180 cm",G,Left,99 - Round 4 - 2013 (NSH),,,,NSH,Standard (1-way),✔,"Jul. 1, 2024",30,,,,8,UFA,UFA,2033,"$7,740,000",8.8%,"$7,740,000","$7,740,000","$7,740,000","$7,740,000",$0,$0
25,26. Morgan Rielly,TOR,35,"Mar. 9, 1994",Canada,219 lbs - 99 kg,"6'1"" - 185 cm",LD,Left,5 - Round 1 - 2012 (TOR),,,,TOR,Standard (1-way),✔,"Oct. 29, 2021",28,,,"M-NTC, NMC",8,UFA,UFA,2030,"$7,500,000",9.2%,"$7,500,000","$6,000,000","$6,000,000","$6,000,000",$0,$0
26,27. Noah Hanifin,VGK,32,"Jan. 25, 1997",United States,215 lbs - 98 kg,"6'3"" - 191 cm",LD,Left,5 - Round 1 - 2015 (CAR),,,,VGK,Standard (1-way),✔,"Apr. 11, 2024",27,,,NTC,8,UFA,UFA,2032,"$7,350,000",8.8%,"$7,350,000","$5,700,000","$5,700,000","$5,700,000",$0,$0
27,28. Brandon Montour,SEA,35,"Apr. 11, 1994",Canada,189 lbs - 86 kg,"6'0"" - 183 cm",RD,Right,55 - Round 2 - 2014 (ANA),,,,SEA,Standard (1-way),,"Jul. 1, 2024",30,,,M-NTC,7,UFA,UFA,2031,"$7,142,857",8.1%,"$7,142,857","$7,000,000","$7,000,000","$7,000,000",$0,$0
28,29. Brady Skjei,NSH,35,"Mar. 26, 1994",United States,210 lbs - 95 kg,"6'3"" - 191 cm",LD,Left,28 - Round 1 - 2012 (NYR),,,,NSH,Standard (1-way),,"Jul. 1, 2024",30,,,,7,UFA,UFA,2031,"$7,000,000",8.0%,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
29,30. Hampus Lindholm,BOS,35,"Jan. 20, 1994",Sweden,208 lbs - 94 kg,"6'3"" - 191 cm",LD,Left,6 - Round 1 - 2012 (ANA),,,,BOS,Standard (1-way),✔,"Mar. 20, 2022",28,,,M-NTC,8,UFA,UFA,2030,"$6,500,000",8.0%,"$6,500,000","$4,800,000","$4,800,000","$4,800,000",$0,$0
30,31. Tom Wilson,WSH,35,"Mar. 29, 1994",Canada,220 lbs - 100 kg,"6'4"" - 193 cm",RW,Right,16 - Round 1 - 2012 (WSH),,,,WSH,Standard (1-way),✔,"Aug. 4, 2023",30,,,M-NTC,7,UFA,UFA,2031,"$6,500,000",7.8%,"$6,500,000","$5,400,000","$900,000","$5,400,000","$4,500,000",$0
31,32. Colton Parayko,STL,36,"May 12, 1993",Canada,230 lbs - 104 kg,"6'6"" - 198 cm",RD,Right,86 - Round 3 - 2012 (STL),,,,STL,Standard (1-way),✔,"Sep. 1, 2021",29,,,M-NTC,8,UFA,UFA,2030,"$6,500,000",8.0%,"$6,500,000","$4,800,000","$4,800,000","$4,800,000",$0,$0
32,33. Jaccob Slavin,CAR,35,"May 1, 1994",United States,207 lbs - 94 kg,"6'3"" - 191 cm",LD,Left,120 - Round 4 - 2012 (CAR),,,,CAR,Standard (1-way),✔,"Jul. 1, 2024",31,,,NMC,8,UFA,UFA,2033,"$6,396,063",7.3%,"$6,396,063","$6,840,000","$1,000,000","$6,840,000","$5,840,000",$0
33,34. Damon Severson,CBJ,34,"Aug. 7, 1994",Canada,205 lbs - 93 kg,"6'2"" - 188 cm",RD,Right,60 - Round 2 - 2012 (NJD),,,,NJD,Standard (1-way),✔,"Jun. 9, 2023",28,,,M-NTC,8,UFA,UFA,2031,"$6,250,000",7.6%,"$6,250,000","$5,100,000","$5,100,000","$5,100,000",$0,$0
34,35. Gustav Forsling,FLA,33,"Jun. 12, 1996",Sweden,186 lbs - 84 kg,"6'0"" - 183 cm",LD,Left,126 - Round 5 - 2014 (VAN),,,,FLA,Standard (1-way),✔,"Mar. 7, 2024",28,,,NMC,8,UFA,UFA,2032,"$5,750,000",6.9%,"$5,750,000","$5,545,000","$1,000,000","$5,545,000","$4,545,000",$0
35,36. Brett Pesce,NJD,34,"Nov. 15, 1994",United States,206 lbs - 93 kg,"6'3"" - 191 cm",RD,Right,66 - Round 3 - 2013 (CAR),,,,NJD,Standard (1-way),,"Jul. 1, 2024",29,,,M-NTC,6,UFA,UFA,2030,"$5,500,000",6.3%,"$5,500,000","$4,200,000","$4,200,000","$4,200,000",$0,$0
36,37. Nikita Zadorov,BOS,34,"Apr. 16, 1995",Russia,235 lbs - 107 kg,"6'6"" - 198 cm",LD/RD,Left,16 - Round 1 - 2013 (BUF),,,,BOS,Standard (1-way),,"Jul. 1, 2024",29,,,,6,UFA,UFA,2030,"$5,000,000",5.7%,"$5,000,000","$3,600,000","$3,600,000","$3,600,000",$0,$0
37,38. Christopher Tanev,TOR,39,"Dec. 20, 1989",Canada,197 lbs - 89 kg,"6'2"" - 188 cm",RD,Right,,,,,TOR,Standard (1-way),,"Jul. 1, 2024",34,,,NMC,6,UFA,UFA,2030,"$4,500,000",5.1%,"$4,500,000","$3,600,000","$1,000,000","$3,600,000","$2,600,000",$0
38,39. Scott Mayfield,NYI,36,"Oct. 14, 1992",United States,223 lbs - 101 kg,"6'5"" - 196 cm",RD,Right,34 - Round 2 - 2011 (NYI),,,,NYI,Standard (1-way),,"Jul. 1, 2023",30,,,M-NTC,7,UFA,UFA,2030,"$3,500,000",4.2%,"$3,500,000","$3,500,000","$3,500,000","$3,500,000",$0,$0
39,40. William Carrier,CAR,34,"Dec. 20, 1994",Canada,218 lbs - 99 kg,"6'2"" - 188 cm",LW,Left,57 - Round 2 - 2013 (STL),,,,CAR,Standard (1-way),,"Jul. 1, 2024",29,,,,6,UFA,UFA,2030,"$2,000,000",2.3%,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",$0,$0
