"Forwards (13 - $51,666,667)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Barkov, Aleksander ""C""",6 UFA,NMC,C,NHL,Draft,28,11.4,"$10,000,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 "
"Tkachuk, Matthew",6 UFA,NMC,RW,NHL,Trade,26,10.8,"$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 ","$9,500,000 "
"Reinhart, Sam",8 UFA,NMC,RW,NHL,Trade,28,9.8,"$8,625,000 ","$8,625,000 ","$8,625,000 ","$8,625,000 ","$8,625,000 ","$8,625,000 "
"Lundell, Anton",6 UFA,,"C, LW",NHL,Draft,22,5.7,"$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 "
"Bennett, Sam",1 UFA,,C,NHL,Trade,28,5,"$4,425,000 ",UFA,,,,
"Verhaeghe, Carter",1 UFA,,LW,NHL,Signed,28,4.7,"$4,166,667 ",UFA,,,,
"Rodrigues, Evan",3 UFA,,"LW, C",NHL,Signed,30,3.4,"$3,000,000 ","$3,000,000 ","$3,000,000 ",UFA,,
"Luostarinen, Eetu",3 UFA,,"LW, C",NHL,Trade,25,3.4,"$3,000,000 ","$3,000,000 ","$3,000,000 ",UFA,,
"Greer, AJ",2 UFA,,"RW, LW",NHL,Signed,27,1,"$850,000 ","$850,000 ",UFA,,,
"Gadjovich, Jonah",2 UFA,,"LW, RW",NHL,Signed,25,0.9,"$775,000 ","$775,000 ",UFA,,,
"Boqvist, Jesper",1 UFA,,"C, LW",NHL,Signed,25,0.9,"$775,000 ",UFA,,,,
"Entwistle, Mackenzie",1 RFA,,"LW, C",NHL,Signed,24,0.9,"$775,000 ",RFA,,,,
"Nosek, Tomas",1 UFA,,"LW, C",NHL,Signed,31,0.9,"$775,000 ",UFA,,,,
TOTAL,,,,,,26.7,58.7,"$51,666,667 ","$40,750,000 ","$39,125,000 ","$33,125,000 ","$33,125,000 ","$33,125,000 "
