Forwards (13),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Steeves, Ben",2 RFA,ELC,LW,Minor,Signed,22,-,"$950,000 ","$950,000 ",RFA,,,
"Samoskevich, Mackie",1 RFA,ELC,RW,Minor,Draft,21,-,"$925,000 ",RFA,,,,
"McAllister, Ryan",2 RFA,ELC,C,Minor,Signed,22,-,"$896,667 ","$896,667 ",RFA,,,
"Okuliar, Oliver",1 RFA,ELC,LW,Minor,Signed,24,-,"$870,000 ",RFA,,,,
"Skoog, Wilmer",1 RFA,ELC,C,Minor,Signed,24,-,"$870,000 ",RFA,,,,
"Vilmanis, Sandis",3 RFA,ELC,LW,Junior,Draft,20,-,"$855,000 ","$855,000 ","$855,000 ",RFA,,
"Sourdif, Justin",1 RFA,ELC,C,Minor,Draft,22,-,"$847,500 ",RFA,,,,
"Davies, Joshua",3 RFA,ELC,LW,Junior,Draft,20,-,"$828,333 ","$828,333 ","$828,333 ",RFA,,
"Schwindt, Kai",3 RFA,ELC,LW,Minor,Signed,20,-,"$798,333 ","$798,333 ","$798,333 ",RFA,,
"Dalpe, Zac",1 UFA,,C,Minor,Signed,34,-,"$775,000 ",UFA,,,,
"Lockwood, William",1 UFA,,RW,Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Asplund, Rasmus",1 UFA,,"LW, C",Minor,Signed,26,-,"$775,000 ",UFA,,,,
"Giles, Patrick",2 RFA,,C,Minor,Signed,24,-,"$775,000 ","$775,000 ",RFA,,,
TOTAL,,,,,,23.5,-,"$10,940,833 ","$5,103,333 ","$2,481,666 ",,,
