"Forwards (10 - $40,869,047)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Stutzle, Tim",7 UFA,,C,NHL,Draft,22,9.5,"$8,350,000 ","$8,350,000 ","$8,350,000 ","$8,350,000 ","$8,350,000 ","$8,350,000 "
"Tkachuk, Brady ""C""",4 UFA,,LW,NHL,Draft,24,9.3,"$8,205,714 ","$8,205,714 ","$8,205,714 ","$8,205,714 ",UFA,
"Giroux, Claude ""A""",1 UFA,NMC,"RW, C",NHL,Signed,36,7.4,"$6,500,000 ",UFA,,,,
"Batherson, Drake",3 UFA,,"RW, LW",NHL,Draft,26,5.7,"$4,975,000 ","$4,975,000 ","$4,975,000 ",UFA,,
"Perron, David",2 UFA,35+M-NTC,"RW, LW",NHL,Signed,36,4.5,"$4,000,000 ","$4,000,000 ",UFA,,,
"Pinto, Shane",2 RFA,,C,NHL,Draft,23,4.3,"$3,750,000 ","$3,750,000 ",RFA,,,
"Amadio, Michael",3 UFA,,"RW, LW",NHL,Signed,28,3,"$2,600,000 ","$2,600,000 ","$2,600,000 ",UFA,,
"Greig, Ridly",1 RFA,ELC,"C, LW",NHL,Draft,21,1,"$863,333 ",RFA,,,,
"Gregor, Noah",1 RFA,,"LW, RW",NHL,Signed,25,1,"$850,000 ",RFA,,,,
"MacEwen, Zack",2 UFA,,"RW, C",NHL,Signed,27,0.9,"$775,000 ","$775,000 ",UFA,,,
TOTAL,,,,,,26.8,46.4,"$40,869,047 ","$32,655,714 ","$24,130,714 ","$16,555,714 ","$8,350,000 ","$8,350,000 "
