"Forwards (13 - $44,397,024)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Scheifele, Mark ""A""",7 UFA,NMC,C,NHL,Draft,31,9.7,"$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 "
"Connor, Kyle",2 UFA,M-NTC,LW,NHL,Draft,27,8.1,"$7,142,857 ","$7,142,857 ",UFA,,,
"Ehlers, Nikolaj",1 UFA,M-NTC,"RW, LW",NHL,Draft,28,6.8,"$6,000,000 ",UFA,,,,
"Iafallo, Alex",1 UFA,,"LW, RW",NHL,Trade,30,4.5,"$4,000,000 ",UFA,,,,
"Niederreiter, Nino",3 UFA,,"LW, RW",NHL,Trade,31,4.5,"$4,000,000 ","$4,000,000 ","$4,000,000 ",UFA,,
"Vilardi, Gabriel",1 RFA,,"RW, C",NHL,Trade,24,3.9,"$3,437,500 ",RFA,,,,
"Lowry, Adam ""C""",2 UFA,M-NTC,C,NHL,Draft,31,3.7,"$3,250,000 ","$3,250,000 ",UFA,,,
"Appleton, Mason",1 UFA,,RW,NHL,Trade,28,2.5,"$2,166,667 ",UFA,,,,
"Namestnikov, Vladislav",1 UFA,,"LW, RW, C",NHL,Signed,31,2.3,"$2,000,000 ",UFA,,,,
"Barron, Morgan",1 RFA,,"LW, RW",NHL,Trade,25,1.5,"$1,350,000 ",RFA,,,,
"Kupari, Rasmus",1 RFA,,"C, LW, RW",NHL,Trade,24,1.1,"$1,000,000 ",RFA,,,,
"Jonsson-Fjällby, Axel",1 UFA,,LW,NHL,Signed,26,0.9,"$775,000 ",UFA,,,,
"Anderson-Dolan, Jaret",2 RFA,,"C, LW, RW",NHL,Signed,24,0.9,"$775,000 ","$775,000 ",RFA,,,
"Gustafsson, David",0 RFA,,"LW, C",NHL,Draft,24,,RFA,,,,,
"Perfetti, Cole",0 RFA,,"LW, C",NHL,Draft,22,,RFA,,,,,
TOTAL,,,,,,27.1,50.5,"$44,397,024 ","$23,667,857 ","$12,500,000 ","$8,500,000 ","$8,500,000 ","$8,500,000 "
