"Defense (8 - $31,512,500)",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Carlson, John ""A""",2 UFA,M-NTC,RD,NHL,Draft,34,9.1,"$8,000,000 ","$8,000,000 ",UFA,,,
"Roy, Matt",7 UFA,,RD,NHL,Signed,29,6.5,"$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 "
"Chychrun, Jakob",1 UFA,M-NTC,LD/RD,NHL,Trade,26,5.2,"$4,600,000 ",UFA,,,,
"Sandin, Rasmus",5 UFA,,LD,NHL,Trade,24,5.2,"$4,600,000 ","$4,600,000 ","$4,600,000 ","$4,600,000 ","$4,600,000 ",UFA
"van Riemsdyk, Trevor",2 UFA,,RD,NHL,Signed,32,3.4,"$3,000,000 ","$3,000,000 ",UFA,,,
"Fehervary, Martin",2 RFA,,LD/RD,NHL,Draft,24,3,"$2,675,000 ","$2,675,000 ",RFA,,,
"Bear, Ethan",1 UFA,,RD,NHL,Signed,27,2.3,"$2,062,500 ",UFA,,,,
"Alexeyev, Alexander",1 RFA,,LD/RD,NHL,Draft,24,0.9,"$825,000 ",RFA,,,,
TOTAL,,,,,,27.5,35.8,"$31,512,500 ","$24,025,000 ","$10,350,000 ","$10,350,000 ","$10,350,000 ","$5,750,000 "
