Forwards (15),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Miroshnichenko, Ivan",2 RFA,ELC,LW,Minor,Draft,20,-,"$950,000 ","$950,000 ",RFA,,,
"Funk, Zac",3 RFA,ELC,"LW, RW",Junior,Signed,20,-,"$905,000 ","$905,000 ","$905,000 ",RFA,,
"Cristall, Andrew",3 RFA,ELC,LW,Minor,Draft,19,-,"$873,333 ","$873,333 ","$873,333 ",RFA,,
"Dube, Pierrick",1 RFA,ELC,RW,Minor,Signed,23,-,"$870,000 ",RFA,,,,
"Lapierre, Hendrix",1 RFA,ELC,C,Minor,Draft,22,-,"$863,333 ",RFA,,,,
"Rybinski, Henry",1 RFA,ELC,RW,Minor,Signed,23,-,"$859,167 ",RFA,,,,
"Trineyev, Bogdan",1 RFA,ELC,RW,Minor,Draft,22,-,"$859,167 ",RFA,,,,
"Hofer, Ryan",2 RFA,ELC,C,Minor,Draft,22,-,"$851,667 ","$851,667 ",RFA,,,
"Persson, Ludwig",3 RFA,ELC,"LW, C",Loan,Draft,20,-,"$815,000 ","$815,000 ","$815,000 ",RFA,,
"Suzdalev, Alexander",3 RFA,ELC,LW,Minor,Draft,20,-,"$815,000 ","$815,000 ","$815,000 ",RFA,,
"Sgarbossa, Michael",1 UFA,,C,Minor,Signed,31,-,"$775,000 ",UFA,,,,
"Frank, Ethen",2 UFA,,C,Minor,Signed,26,-,"$775,000 ","$775,000 ",UFA,,,
"Sutter, Riley",1 RFA,,RW,Minor,Draft,24,-,"$775,000 ",RFA,,,,
"Philp, Luke",1 UFA,,C,Minor,Signed,28,-,"$775,000 ",UFA,,,,
"Smallman, Spencer",1 UFA,,RW,Minor,Signed,27,-,"$775,000 ",UFA,,,,
"Limoges, Alex",0 RFA,,"C, LW",Minor,Signed,26,-,RFA,,,,,
TOTAL,,,,,,23.3,-,"$12,536,667 ","$5,985,000 ","$3,408,333 ",,,
