Forwards (11),Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
"Lekkerimaki, Jonathan",3 RFA,ELC,"RW, C",Minor,Draft,19,-,"$918,333 ","$918,333 ","$918,333 ",RFA,,
"Mueller, Ty",3 RFA,ELC,"C, LW, RW",Minor,Draft,21,-,"$870,000 ","$870,000 ","$870,000 ",RFA,,
"Nielsen, Tristen",1 RFA,ELC,C,Minor,Signed,24,-,"$870,000 ",RFA,,,,
"Sasson, Max",1 RFA,ELC,C,Minor,Signed,23,-,"$870,000 ",RFA,,,,
"Glover, Ty",1 RFA,ELC,C,Minor,Trade,23,-,"$859,167 ",RFA,,,,
"Bloom, Josh",2 RFA,ELC,LW,Junior,Trade,21,-,"$836,667 ","$836,667 ",RFA,,,
"Raty, Aatu",1 RFA,ELC,C,Minor,Trade,21,-,"$836,667 ",RFA,,,,
"Klimovich, Danila",2 RFA,ELC,RW,Minor,Draft,21,-,"$833,333 ","$833,333 ",RFA,,,
"Bains, Arshdeep",1 RFA,ELC,LW,Minor,Signed,23,-,"$816,667 ",RFA,,,,
"Karlsson, Linus",1 RFA,,RW,Minor,Trade,24,-,"$775,000 ",RFA,,,,
"Smith, Nathan",1 RFA,,C,Minor,Signed,25,-,"$775,000 ",RFA,,,,
TOTAL,,,,,,22.3,-,"$9,260,834 ","$3,458,333 ","$1,788,333 ",,,
